# Mandate Rescue training data. BOOTSTRAPPED from 10 repeated runs of the 180-case synthetic simulation with distinct seeds. These rows are NOT unique real customers; they are label-consistent outcomes produced by the product's own rule-based recovery pipeline. Used to train/validate an additive ML layer that does NOT drive agent decisions.
past_payment_success_rate,customer_tenure_months,past_retry_count,failure_reason,amount,mandate_limit,merchant_category,recovered
0.4,39,2,insufficient_funds,2411.4,5000.0,utility,1
0.48,7,1,insufficient_funds,2006.89,5000.0,utility,0
0.59,42,2,bank_technical_error,952.98,5000.0,subscription,1
0.67,17,1,mandate_expired,924.12,5000.0,insurance,0
0.65,45,1,mandate_revoked,2347.53,5000.0,emi,0
0.77,46,1,insufficient_funds,6483.6,10682.98,subscription,1
0.5,29,1,bank_technical_error,2352.9,5000.0,emi,1
0.35,16,1,mandate_expired,4559.59,5000.0,utility,1
0.61,28,0,bank_technical_error,2693.16,5000.0,subscription,1
0.89,10,1,bank_technical_error,207.66,5000.0,subscription,1
0.93,4,1,bank_technical_error,2346.55,5000.0,emi,1
0.83,41,1,mandate_expired,2209.13,5000.0,insurance,1
0.93,9,1,insufficient_funds,2310.95,5000.0,emi,1
0.98,41,2,mandate_expired,2300.82,5000.0,insurance,1
0.6,15,2,mandate_expired,949.49,5000.0,emi,1
0.86,24,2,insufficient_funds,2046.72,5000.0,insurance,1
0.75,34,2,insufficient_funds,2487.15,5000.0,insurance,1
0.37,33,2,mandate_expired,6271.76,10600.85,subscription,1
0.86,33,2,mandate_expired,2799.81,5000.0,emi,0
0.51,40,1,insufficient_funds,1867.89,5000.0,subscription,1
0.45,30,0,insufficient_funds,732.81,5000.0,insurance,1
0.44,29,0,mandate_expired,1237.02,3000.0,emi,1
0.82,45,0,insufficient_funds,7444.92,11941.18,utility,1
0.5,33,1,insufficient_funds,1252.21,5000.0,insurance,1
0.41,43,1,mandate_expired,2343.37,5000.0,insurance,1
0.39,45,1,mandate_expired,1410.1,5000.0,subscription,1
0.39,36,1,bank_technical_error,6508.32,8957.25,subscription,1
0.33,42,1,insufficient_funds,1940.05,5000.0,emi,1
0.91,27,0,mandate_expired,2500.92,1000.0,insurance,1
0.84,1,1,insufficient_funds,2700.5,5000.0,subscription,1
0.78,8,1,insufficient_funds,8219.12,9771.02,emi,1
0.87,40,0,mandate_expired,1773.51,3000.0,subscription,1
0.9,29,0,mandate_revoked,3549.68,5000.0,subscription,0
0.7,18,2,insufficient_funds,1675.02,5000.0,insurance,1
0.53,46,1,mandate_revoked,8810.5,11528.26,emi,0
0.8,15,1,mandate_revoked,525.41,5000.0,emi,0
0.42,22,0,bank_technical_error,819.95,5000.0,insurance,1
0.31,20,2,bank_technical_error,2766.78,5000.0,insurance,1
0.59,43,0,insufficient_funds,5724.3,9604.51,emi,1
0.78,32,1,insufficient_funds,607.22,5000.0,insurance,1
0.92,34,2,insufficient_funds,14497.97,5000.0,emi,1
0.92,8,0,mandate_expired,1015.81,5000.0,subscription,1
0.83,15,0,mandate_revoked,11363.77,13629.46,insurance,0
0.94,23,0,bank_technical_error,902.77,3000.0,utility,1
0.95,30,1,mandate_revoked,733.44,5000.0,utility,0
0.75,36,0,mandate_revoked,2539.97,5000.0,utility,0
0.32,48,0,bank_technical_error,13472.39,16338.7,subscription,1
0.39,33,0,insufficient_funds,1683.68,1000.0,utility,1
0.88,43,1,bank_technical_error,2641.48,5000.0,subscription,1
0.53,41,0,bank_technical_error,2968.31,5000.0,emi,1
0.77,12,1,bank_technical_error,1530.26,2000.0,utility,1
0.41,43,1,insufficient_funds,1404.43,5000.0,insurance,1
0.36,42,2,mandate_expired,637.68,5000.0,utility,1
0.52,38,1,bank_technical_error,2944.09,5000.0,emi,1
0.94,4,0,mandate_expired,607.45,5000.0,emi,1
0.95,28,2,bank_technical_error,2871.23,5000.0,utility,1
0.84,4,1,insufficient_funds,1233.99,5000.0,insurance,1
0.76,3,0,bank_technical_error,1594.81,5000.0,utility,1
0.66,13,1,insufficient_funds,2474.29,2000.0,insurance,1
0.92,31,0,mandate_expired,2058.88,5000.0,insurance,1
0.77,29,1,mandate_revoked,500.41,5000.0,subscription,0
0.96,16,2,insufficient_funds,2912.82,5000.0,emi,1
0.6,8,2,mandate_expired,1625.53,5000.0,insurance,1
0.91,23,0,insufficient_funds,2642.44,5000.0,subscription,1
0.44,30,2,insufficient_funds,2450.45,5000.0,utility,1
0.87,27,2,mandate_expired,1893.71,5000.0,utility,0
0.71,34,1,mandate_revoked,2620.22,5000.0,emi,0
0.89,26,2,mandate_expired,1646.86,5000.0,utility,1
0.31,7,1,mandate_expired,2313.83,5000.0,utility,1
0.53,15,1,mandate_revoked,4150.21,5000.0,subscription,0
0.68,41,1,insufficient_funds,1905.84,3000.0,emi,1
0.92,6,2,insufficient_funds,9342.43,10824.68,utility,1
0.33,11,2,mandate_revoked,1587.56,5000.0,insurance,0
0.55,5,1,bank_technical_error,2496.8,3000.0,insurance,1
0.73,15,1,insufficient_funds,1537.89,5000.0,emi,1
0.83,30,2,bank_technical_error,7542.56,10094.38,subscription,1
0.68,34,1,insufficient_funds,736.52,5000.0,emi,1
0.7,15,0,insufficient_funds,1247.41,5000.0,insurance,1
0.34,33,1,insufficient_funds,1858.73,5000.0,subscription,1
